New Classic Collection,Seating,Alex Pro Chair Black,Active,IC001X018A-BB,Black,https://drive.google.com/open?id=1h07QNuYmBMmhDec35xAlYx0neqJxDAiS&usp=drive_copy,https://drive.google.com/open?id=1OPyuO-zgPq_3E5PuKGgAUSnFWQpp8XPx&usp=drive_copy,https://youtu.be/VVPEDwZ89Rw,
New Classic Collection,Seating,Alex Pro Chair Shark Grey,Active,IC001X018A-SG,Shark Grey,https://drive.google.com/open?id=1h07QNuYmBMmhDec35xAlYx0neqJxDAiS&usp=drive_copy,https://drive.google.com/open?id=1OPyuO-zgPq_3E5PuKGgAUSnFWQpp8XPx&usp=drive_copy,https://youtu.be/VVPEDwZ89Rw,
New Classic Collection,Seating,Alex Pro Chair White,Active,IC001X018A-WW,White,https://drive.google.com/open?id=1h07QNuYmBMmhDec35xAlYx0neqJxDAiS&usp=drive_copy,https://drive.google.com/open?id=1OPyuO-zgPq_3E5PuKGgAUSnFWQpp8XPx&usp=drive_copy,https://youtu.be/VVPEDwZ89Rw,
New Classic Collection,Trolleys,Alex trolley,Active,RA-104A,Grey,https://drive.google.com/drive/folders/1FBH7n2J_YMb_sqJNLqQOGpEgOtnRDvtz?usp=drive_link,https://drive.google.com/open?id=1Y-3JYqDYgDuZ6IXkHGhwhtN2DustU_x0&usp=drive_copy,,Sense vídeo disponible
New Classic Collection,Seating,Alma Arm Chair Blanca,Active,SK014F002A-W,White,https://drive.google.com/drive/folders/14Utwa5u3iQb9QD1AHFOF4FUvhqmgukQU?usp=drive_link,,https://youtu.be/…,
New Classic Collection,Seating,Alma Arm Chair Marrón,Active,SK014F002A-DB,Dark Bronze,https://drive.google.com/drive/folders/14Utwa5u3iQb9QD1AHFOF4FUvhqmgukQU?usp=drive_link,,https://youtu.be/…,
New Classic Collection,Seating,Alma Chair Blanca,Active,SK014F001A-W,White,https://drive.google.com/drive/folders/14Utwa5u3iQb9QD1AHFOF4FUvhqmgukQU?usp=drive_link,https://drive.google.com/open?id=1azjl149rT_6GBP2Dei3Qy5J6vHwylIiY&usp=drive_copy,https://youtu.be/…,
New Classic Collection,Seating,Alma Chair Marrón,Active,SK014F001A-DB,Dark Bronze,https://drive.google.com/drive/folders/14Utwa5u3iQb9QD1AHFOF4FUvhqmgukQU?usp=drive_link,https://drive.google.com/open?id=1azjl149rT_6GBP2Dei3Qy5J6vHwylIiY&usp=drive_copy,https://youtu.be/…,
New Classic Collection,Seating,Alvar stool,Active,PC-019-SG	,Shark grey,https://drive.google.com/drive/folders/19p7slSpYGJrOmeCIjJIkZypuX_xwk-fA?usp=drive_link,https://drive.google.com/open?id=1EQOw96Yo9YuBQ3gKQLXUfYhkqLAkjCLS&usp=drive_copy,,Fitxa tècnica pendent
New Classic Collection,Seating,Aran chair plus Blanca,Active,IC009X002A-WW,White,https://drive.google.com/drive/folders/1cPRgcJx-vOku758Qhcb9fHtjy0wdM5Xt?usp=drive_link,https://drive.google.com/open?id=1KL0BSY2OxftuBfYh1o9SoRGwLT5GKEYr&usp=drive_copy,https://youtu.be/SjF28b_LPns,
New Classic Collection,Seating,Aran chair plus Gris,Active,IC009X002A-SG,Shark Grey,https://drive.google.com/drive/folders/1cPRgcJx-vOku758Qhcb9fHtjy0wdM5Xt?usp=drive_link,https://drive.google.com/open?id=1KL0BSY2OxftuBfYh1o9SoRGwLT5GKEYr&usp=drive_copy,https://youtu.be/SjF28b_LPns,
New Classic Collection,Seating,Aran chair plus Negra,Active,IC009X002A-BB,Black,https://drive.google.com/drive/folders/1cPRgcJx-vOku758Qhcb9fHtjy0wdM5Xt?usp=drive_link,https://drive.google.com/open?id=1KL0BSY2OxftuBfYh1o9SoRGwLT5GKEYr&usp=drive_copy,https://youtu.be/SjF28b_LPns,
New Classic Collection,Seating,Aran chair standard Blanca,Active,IC009X001A-WW,White,https://drive.google.com/drive/folders/1cPRgcJx-vOku758Qhcb9fHtjy0wdM5Xt?usp=drive_link,,https://youtu.be/SjF28b_LPns,
New Classic Collection,Seating,Aran chair standard Gris,Active,IC009X001A-SG,Shark grey,https://drive.google.com/drive/folders/1cPRgcJx-vOku758Qhcb9fHtjy0wdM5Xt?usp=drive_link,,https://youtu.be/SjF28b_LPns,
New Classic Collection,Seating,Aran chair standard Negra,Active,IC009X001A-BB,Black,https://drive.google.com/drive/folders/1cPRgcJx-vOku758Qhcb9fHtjy0wdM5Xt?usp=drive_link,,https://youtu.be/SjF28b_LPns,
New Classic Collection,Trolleys,Aran trolley,Active,RA-CB031F001,Grey,https://drive.google.com/drive/folders/1cPRgcJx-vOku758Qhcb9fHtjy0wdM5Xt?usp=drive_link,,,
New Classic Collection,Seating,Big Alex Chair Blanca,Active,IC008X001A-WW,White,https://drive.google.com/drive/folders/1OdqW35O6JYp4WgnWuCHZwS0woGVejnAu?usp=drive_link,https://drive.google.com/open?id=1FKMdAM9RtT4IUe6Opo9ILd-PstzUJaSO&usp=drive_copy,https://youtu.be/VVPEDwZ89Rw,
New Classic Collection,Seating,Big Alex Chair Negra,Active,IC008X001A-BB,Black,https://drive.google.com/drive/folders/1OdqW35O6JYp4WgnWuCHZwS0woGVejnAu?usp=drive_link,https://drive.google.com/open?id=1FKMdAM9RtT4IUe6Opo9ILd-PstzUJaSO&usp=drive_copy,https://youtu.be/VVPEDwZ89Rw,
New Classic Collection,Seating,Big Alex Shark Grey,Active,IC008X001A-SG,Shark Grey,https://drive.google.com/drive/folders/1OdqW35O6JYp4WgnWuCHZwS0woGVejnAu?usp=drive_link,https://drive.google.com/open?id=1FKMdAM9RtT4IUe6Opo9ILd-PstzUJaSO&usp=drive_copy,https://youtu.be/VVPEDwZ89Rw,
New Classic Collection,Trolleys,Bigalex trolley,Active,RA-CB031F001,Grey,https://drive.google.com/drive/folders/1SWVvOhXMPbY6mfQnRN0CykVCsMkFbLdV?usp=drive_link,https://drive.google.com/open?id=1tHFPYpCHnx9ebChIDMwaQCsCmSuIe2cG&usp=drive_copy,,
New Classic Collection,Tables,Bistrot70,Active,BT009X001A-DB,Dark Bronze,https://drive.google.com/drive/folders/1YGXWvKDMkl42OdoTjGaRjL00C-SsU8Iw?usp=drive_link,https://drive.google.com/open?id=1WvB2vkGgR3k97jXe6t4CqJuvcdm6PEuk&usp=drive_copy,,
New Classic Collection,Tables,Bistrot70,Active,BT009X001A-WW,White,https://drive.google.com/drive/folders/1YGXWvKDMkl42OdoTjGaRjL00C-SsU8Iw?usp=drive_link,https://drive.google.com/open?id=1WvB2vkGgR3k97jXe6t4CqJuvcdm6PEuk&usp=drive_copy,,
New Classic Collection,Seating,Boston-k Chair Shark Grey,Active,SC-35K-SG	,Shark Grey,https://drive.google.com/drive/folders/1L8ktalidVXYiKlhJwsXAsCFmamvc-LwC?usp=drive_link,https://drive.google.com/open?id=1WwqHCiTIpDQiAJ_y_0uTQvTBzlbl6xzH&usp=drive_copy,,
New Classic Collection,Seating,Bryggen-k chair,Active,SK007I002A-BB,Black,https://drive.google.com/drive/folders/1ton-1u6Cl8wUJ22ltzUug--YlXnka4H0?usp=drive_link,https://drive.google.com/open?id=1UeUVXu7mwi7RbuX1QEiIXgpEfVB3ZEp2&usp=drive_copy,,
New Classic Collection,Trolleys,Cocktail trolley,Active,RA-277,Grey,https://drive.google.com/drive/folders/1bwmcW-p9yH81FXbZ6ZG9hOUZOCwfpU16?usp=drive_link,,,
New Classic Collection,Tables,Cocktail-L120,Active,PT060X001A,Shark Grey,https://drive.google.com/drive/folders/1kVmiIUgNHwACvZxEAPHj0yZdVnOPK4GF?usp=drive_link,https://drive.google.com/open?id=11bO3Oh6bHK1coZ6pkHeoMDapzbhIwwn0&usp=drive_copy,,
New Classic Collection,Tables,Cocktail80,Active,PT-36-NC,Shark Grey,https://drive.google.com/drive/folders/1bwmcW-p9yH81FXbZ6ZG9hOUZOCwfpU16?usp=drive_link,https://drive.google.com/open?id=15T8t8vu9uldBq8I3-GrB60PCXd6MIC4_&usp=drive_copy,https://youtu.be/RM4Pe9P4a8M,
New Classic Collection,Tables,CocktailXL76,Active,PT059X002A,Shark Grey,https://drive.google.com/drive/folders/1JR05QTlMT5uGWDt2wobDqsvwLfeCRUr6?usp=drive_link,https://drive.google.com/open?id=1IYPovybHfndWU3S5KjCZWxr24Yr59V3P&usp=drive_copy,,
New Classic Collection,,Dakota picnic set,Active,PT046X001,Light Brown / Grey,https://drive.google.com/drive/folders/120Sne4oF6cDrL701B-exXZLbbFT-efFB?usp=drive_link,https://drive.google.com/open?id=1AMwYczuqirykJAaViQ9RUpJA_yMezoiD&usp=drive_copy,,
New Classic Collection,,Display Rack,Active,RA-287,Grey,https://drive.google.com/drive/folders/1ZCfMIS0TXjzoINeqc84TyXVDdPbPlTJf?usp=drive_link,https://drive.google.com/open?id=1t2HDBettF6eCkMGkneHeVDpgq4-TxyYg&usp=drive_copy,,
New Classic Collection,Seating,Günther chair,Active,FC001A002A,Grey / Black,https://drive.google.com/drive/folders/1LhW50DYyRTazLCTEyNmnm1FsogLZCgAy?usp=drive_link,https://drive.google.com/open?id=1dK3ri1MzVcmKzkslHvjKso3wCwjFyPEw&usp=drive_copy,,
New Classic Collection,Seating,Günther-k chair,Active,FC001A006A,Grey / Black,https://drive.google.com/drive/folders/1GOM_j_i_V1hc_d8KRp2QELVYtrZ538xU?usp=drive_link,https://drive.google.com/open?id=1nctb0srfxN5T7LIkiD8AKHKrS4AGTjEw&usp=drive_copy,,
New Classic Collection,Tables,Imperial200,Active,PT057X001A,Shark Grey,https://drive.google.com/drive/folders/1UX_hgcn9ucImQ1NK8g592f_rERc4-Jev?usp=drive_link,https://drive.google.com/open?id=10Bv0ORcj8Kq_nB68sO0Ev0Vym63rVs1n&usp=drive_copy,https://youtu.be/zJ9M3dxuZBI,
